Código,Município,População,Taxa de alfabetização,PIB,PIB per capita,Renda per capita,Homicídios por 100 mil hab.,Expectativa de vida 2010,IDHM 2010
4300034,Aceguá,4.170,"0,9595252587",458.224,"109.885,85",693,"20,07","76,14","0,687"
4300059,Água Santa,3.912,"0,960208741",547.412,"139.931,49",997,"53,5",76,"0,75"
4300109,Agudo,16.039,"0,9546635008",667.873,"41.640,56",748,"18,35","75,84","0,694"
4300208,Ajuricaba,6.720,"0,9680888575",521.059,"77.538,54",828,0,"75,98","0,753"
4300307,Alecrim,6.123,"0,940861244",162.072,"26.469,38",483,"17,51","76,13","0,672"
4300406,Alegrete,72.409,"0,9573936518",3.079.871,"42.534,37",648,"20,69","75,93","0,74"
4300455,Alegria,3.651,"0,9380473565",156.622,"42.898,38",670,"30,42","74,07","0,695"
4300471,Almirante Tamandaré do Sul,1.969,"0,9703337454",276.411,"140.381,41",654,0,"74,67","0,74"
4300505,Alpestre,7.117,"0,9112970711",196.381,"27.593,23",492,"50,97","72,69","0,671"
4300554,Alto Alegre,1.800,"0,9493670886",106.141,"58.967,22",727,0,"76,52","0,747"
4300570,Alto Feliz,3.072,"0,984351145",161.548,"52.587,24",686,0,"78,14","0,734"
4300604,Alvorada,187.315,"0,9735906483",3.302.248,"17.629,38",519,"36,73","77,41","0,699"
4300638,Amaral Ferrador,5.310,"0,9287514318",147.632,"27.802,64",419,"56,05","73,13","0,624"
4300646,Ametista do Sul,7.650,"0,926477655",177.770,"23.237,91",591,"13,52","73,54","0,682"
4300661,André da Rocha,1.135,"0,9566596195",193.089,"170.122,47",709,"74,01","75,19","0,72"
4300703,Anta Gorda,5.957,"0,9706112853",322.292,"54.103,07",703,"16,83","77,08","0,74"
4300802,Antônio Prado,12.980,"0,9681238616",797.510,"61.441,45",827,23,"75,07","0,758"
4300851,Arambaré,4.112,"0,9449091434",285.088,"69.330,74",559,0,"74,98","0,691"
4300877,Araricá,8.525,"0,9692878338",236.430,"27.733,72",552,"17,12","74,41","0,679"
4300901,Aratiba,6.483,"0,9689586717",946.969,"146.069,57",853,0,"76,38","0,772"
4301008,Arroio do Meio,21.963,"0,9834269354",1.536.556,"69.961,12",815,"18,93","76,62","0,769"
4301073,Arroio do Padre,2.599,"0,9658158614",76.784,"29.543,67",662,0,"76,59","0,669"
4301057,Arroio do Sal,11.057,"0,9772702317",285.577,"25.827,71",689,"9,53","75,61","0,74"
4301206,Arroio do Tigre,12.058,"0,9412823847",429.271,"35.600,51",537,0,"75,9","0,707"
4301107,Arroio dos Ratos,14.601,"0,953578678",357.345,"24.474,01",537,0,"74,98","0,698"
4301305,Arroio Grande,17.558,"0,9422280508",1.131.508,"64.444,01",488,0,"73,43","0,657"
4301404,Arvorezinha,10.322,"0,9529329933",336.246,"32.575,66",593,"38,38","74,04","0,694"
4301503,Augusto Pestana,7.149,"0,9733576038",504.183,"70.524,97",953,"15,27","75,84","0,743"
4301552,Áurea,3.396,"0,972392638",163.438,"48.126,62",575,0,"75,48","0,707"
4301602,Bagé,117.938,"0,9654089367",3.748.409,"31.782,88",662,"12,34","75,86","0,74"
4301636,Balneário Pinhal,14.955,"0,9576698083",312.091,"20.868,67",603,"27,31","75,17","0,696"
4301651,Barão,6.461,"0,9735012216",308.101,"47.686,27",780,"16,04","75,14","0,748"
4301701,Barão de Cotegipe,7.144,"0,9687552214",341.672,"47.826,43",660,"15,11","75,49","0,719"
4301750,Barão do Triunfo,5.889,"0,9199353013",142.318,"24.166,75",461,"13,24","74,28","0,61"
4301859,Barra do Guarita,3.161,"0,9360749186",56.811,"17.972,48",483,"61,23","75,68","0,734"
4301875,Barra do Quaraí,4.241,"0,9561266061",386.181,"91.058,95",366,0,"73,13","0,662"
4301909,Barra do Ribeiro,12.225,"0,9503489531",505.591,"41.357,14",551,"7,34","74,32","0,67"
4301925,Barra do Rio Azul,1.696,"0,9563172043",80.747,"47.610,26",612,0,"75,5","0,723"
4301958,Barra Funda,2.498,"0,9658160809",165.029,"66.064,45",687,0,"76,36","0,763"
4301800,Barracão,4.831,"0,934651978",317.083,"65.635,07",580,0,"78,12","0,71"
4302006,Barros Cassal,9.296,"0,8838785351",244.512,"26.302,93",469,"8,95","72,71","0,65"
4302055,Benjamin Constant do Sul,2.082,"0,8782608696",49.313,"23.685,40",319,0,"73,03","0,619"
4302105,Bento Gonçalves,123.151,"0,9835535",7.498.499,"60.888,66",1011,"28,43","75,52","0,778"
4302154,Boa Vista das Missões,1.933,"0,9475728155",238.521,"123.394,21",508,0,"74,5","0,676"
4302204,Boa Vista do Buricá,6.966,"0,9818025751",326.885,"46.925,78",801,"14,89","75,02","0,762"
4302220,Boa Vista do Cadeado,2.229,"0,9582417582",468.750,"210.296,10",744,0,"76,04","0,703"
4302238,Boa Vista do Incra,2.271,"0,9706521739",384.172,"169.164,24",625,0,"77,02","0,731"
4302253,Boa Vista do Sul,2.779,"0,9561802398",120.127,"43.226,70",816,0,"76,11","0,728"
4302303,Bom Jesus,11.202,"0,9334400732",613.622,"54.777,90",503,0,"74,89","0,666"
4302352,Bom Princípio,13.132,"0,9871924813",906.593,"69.036,93",748,"6,92","75,18","0,746"
4302378,Bom Progresso,2.096,"0,9111764706",86.279,"41.163,65",527,0,"75,42","0,723"
4302402,Bom Retiro do Sul,12.294,"0,9703970397",403.054,"32.784,61",651,"24,1","76,39","0,739"
4302451,Boqueirão do Leão,6.247,"0,9229279628",150.393,"24.074,44",555,0,"75,59","0,7"
4302501,Bossoroca,5.890,"0,9249743063",490.597,"83.293,21",486,"16,29","74,24","0,692"
4302584,Bozano,2.151,"0,9628169014",227.409,"105.722,45",772,0,"76,18","0,745"
4302600,Braga,3.268,"0,9075757576",130.948,"40.069,77",459,0,"74,81","0,674"
4302659,Brochier,4.966,"0,9640009664",117.700,"23.701,17",626,0,"76,06","0,699"
4302709,Butiá,19.084,"0,9461159383",543.347,"28.471,34",520,"28,62","75,85","0,689"
4302808,Caçapava do Sul,32.515,"0,9420198577",1.122.667,"34.527,66",541,"5,97","76,27","0,704"
4302907,Cacequi,11.157,"0,9359492841",623.085,"55.847,00",506,"8,13","73,39","0,7"
4303004,Cachoeira do Sul,80.070,"0,9518384022",3.542.693,"44.244,95",667,"3,67","76,22","0,742"
4303103,Cachoeirinha,136.258,"0,9816879341",6.458.476,"47.398,88",734,"9,08","76,42","0,757"
4303202,Cacique Doble,4.603,"0,938587243",169.235,"36.766,24",477,"59,02","73,57","0,662"
4303301,Caibaté,4.704,"0,9587732529",264.915,"56.316,96",586,0,"76,39","0,719"
4303400,Caiçara,4.836,"0,9549704724",152.840,"31.604,63",599,0,74,"0,699"
4303509,Camaquã,62.200,"0,9518497349",2.723.662,"43.788,78",592,"23,99","74,14","0,697"
4303558,Camargo,2.981,"0,9626896269",520.481,"174.599,46",837,0,"76,25","0,736"
4303608,Cambará do Sul,6.361,"0,9616519174",242.576,"38.134,88",565,"15,66","75,25","0,697"
4303673,Campestre da Serra,3.242,"0,9585016526",204.702,"63.140,65",652,"29,39","78,13","0,706"
4303707,Campina das Missões,5.882,"0,9786180954",239.168,"40.661,00",580,"18,77","75,91","0,738"
4303806,Campinas do Sul,5.284,"0,9578501338",399.402,"75.587,06",741,0,"75,49","0,76"
4303905,Campo Bom,62.886,"0,9814223512",3.600.068,"57.247,53",751,"22,86","76,11","0,745"
4304002,Campo Novo,4.975,"0,9158832261",325.738,"65.474,97",534,"46,8","76,94","0,703"
4304101,Campos Borges,3.613,"0,9324048913",150.033,"41.525,88",545,"30,56","74,16","0,708"
4304200,Candelária,28.906,"0,940366592",1.078.186,"37.299,73",540,"28,59","75,49","0,674"
4304309,Cândido Godói,6.294,"0,9713168188",358.436,"56.948,84",609,0,"76,17","0,728"
