nome_partido,numero_partido,sigla
PARTIDO LIBERAL,22,PL
PATRIOTA,51,PATRIOTA
PODEMOS,19,PODE
PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,16,PSTU
PARTIDO SOCIAL CRISTAO,20,PSC
MOVIMENTO DEMOCRATICO BRASILEIRO,15,MDB
UNIDADE POPULAR,80,UP
PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,45,PSDB
PARTIDO DEMOCRATICO TRABALHISTA,12,PDT
SOLIDARIEDADE,77,SOLIDARIEDADE
PARTIDO COMUNISTA BRASILEIRO,21,PCB
PROGRESSISTAS,11,PP
PARTIDO SOCIALISMO E LIBERDADE,50,PSOL
PARTIDO SOCIAL DEMOCRATICO,55,PSD
UNIAO BRASIL,44,UNIAO
PARTIDO SOCIALISTA BRASILEIRO,40,PSB
REPUBLICANOS,10,REPUBLICANOS
PARTIDO TRABALHISTA BRASILEIRO,14,PTB
PARTIDO DOS TRABALHADORES,13,PT
AVANTE,70,AVANTE
AGIR,36,AGIR
CIDADANIA,23,CIDADANIA
PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,28,PRTB
DEMOCRACIA CRISTA,27,DC
PARTIDO REPUBLICANO DA ORDEM SOCIAL,90,PROS
REDE SUSTENTABILIDADE,18,REDE
PARTIDO NOVO,30,NOVO
PARTIDO COMUNISTA DO BRASIL,65,PC do B
PARTIDO DA CAUSA OPERARIA,29,PCO
PARTIDO VERDE,43,PV
