cd_mun,nm_votavel,qt_votos
4301552,ADA CRISTINA MUNARETTO,9
4301552,ADEMAR RODRIGUES DE MORAES,1
4301552,AFONSO ANTUNES DA MOTTA,5
4301552,AIRTON PEREIRA DA SILVA,6
4301552,ALCEU MOREIRA DA SILVA,29
4301552,ALCIBIO MESQUITA BIBO NUNES,1
4301552,ALENCART JOAO LOCH,5
4301552,ALEXANDRE DUARTE LINDENMEYER,5
4301552,ANA CLAUDIA BITENCOURT CLAUDINO,1
4301552,ANACLETO ZANELLA,163
4301552,ANAXIMANDRO ZAMBONATTO PEZZIN,123
4301552,ANTONIO ARLAN BRUM NUNES,1
4301552,ANTONIO CARLOS GOMES DA SILVA,388
4301552,ANY MACHADO ORTIZ,33
4301552,ATENA BEAUVOIR ROVEDA,1
4301552,CARINA BELOME LEMES,2
4301552,CARLA IZABEL TORRES,1
4301552,CARLOS ALBERTO BENEDETTI,1
4301552,CARLOS AUGUSTO DA SILVA LOPES,5
4301552,CARLOS EDUARDO DA SILVA MONTEIRO,18
4301552,CLEBERSON PEREIRA GARDIN,1
4301552,CRISTIANO FERREIRA MORAES,1
4301552,DAIANA SILVA DOS SANTOS,4
4301552,DANRLEI DE DEUS HINTERHOLZ,51
4301552,DARCI POMPEO DE MATTOS,5
4301552,DIONILSO MATEUS MARCON,64
4301552,DIOGENES BERTHES DA SILVA,1
4301552,DOUGLAS DOS SANTOS,3
4301552,EDUARDO EVALDT MANIQUE,1
4301552,ELVINO JOSE BOHN GASS,61
4301552,ERIC LINS GRILO,1
4301552,EVELIN GARAGNANI,2
4301552,FABIO MAIA OSTERMANN,7
4301552,FELIPE ALEXANDRE KLEIN DIEHL,2
4301552,FERNANDA MELCHIONNA E SILVA,5
4301552,FRANCIANE ABADE BAYER MULLER,3
4301552,FRANCISCO CARLOS SOUZA SUMAQUE FILHO,1
4301552,GIANE CAMILLE LAUXEN,3
4301552,GIOVANI BATISTA FELTES,1
4301552,GIOVANI CHERINI,146
4301552,HENRIQUE MASCARENHAS DE SOUZA,1
